URL,adress,describe,detail_1,detail_2,ft,img_urls,latitude,longitude,price,stat_text,tel,title,title_minor,txt_diposit,vender_name,vender_type
https://www.idealista.com/inmueble/1684608/?xtmc=2_1_lloret&xtcr=0," Callejón Pere Codina i Mont, 57 , Distrito Fenals , Lloret de Mar , La Selva, Girona "," ""-Piso ático impecable, alegre y muy luminoso de 2/3 habitaciones: 2 dobles+1 estudio, trastero o invitados. , -Alquiler directo a propietario. , -Todo exterior, mucha luz y sol todo el día. , -Cocina completamente equipada. , -Salón-comedor con terraza. Amueblado. , -Piscina, bonita zona de jardín y cerca de la playa. , -Ascensor. Zona y edificio muy tranquilos. , -Gastos bajos. Soleado y caliente en invierno y aireado y fresco en verano. , -Posibilidad de Garaje."" ","80 m² construidos,2 habitaciones,1 baño,Terraza,Segunda mano/buen estado,Armarios empotrados,Trastero,Orientación sur,Amueblado y cocina equipada,Certificación energética: no indicado"," Planta 4ª exterior , Con ascensor , Piscina , Jardín ","80 m²,2 hab.,4ª planta exterior con ascensor",,41.6980421,2.8280837,750,Anuncio actualizado el 30 de diciembre,,"Alquiler de Piso en callejón Pere Codina i Mont, 57","Fenals, Lloret de Mar",,jesús,Particular
https://www.idealista.com/inmueble/83783412/?xtmc=2_1_lloret&xtcr=0," Avenida de Fenals, 10 , Urb. santa clotilde , Distrito Santa Clotilde , Lloret de Mar , La Selva, Girona ",,"35 m² construidos, 30 m² útiles,Sin habitación,1 baño,Terraza,Segunda mano/buen estado,Construido en 2006,Amueblado y cocina equipada,Calefacción individual: Bomba de frío/calor"," Bajo exterior , Con ascensor , Aire acondicionado , Piscina , Jardín ","35 m²,Bajo exterior con ascensor",,41.6956446,2.8225073,450,Anuncio actualizado el 9 de enero,695975520,"Alquiler de Estudio en avenida de Fenals, 10","Santa Clotilde, Lloret de Mar",,sergio benjamin,Particular
https://www.idealista.com/inmueble/35464081/?xtmc=2_1_lloret&xtcr=0," Avenida Joan Llaverias, 49 , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""Apartamento, exterior, tranquilo, bien comunicado, a 300 metros del mar, segunda linea."" ","45 m² construidos, 40 m² útiles,1 habitación,1 baño,Terraza,Segunda mano/buen estado,Armarios empotrados,Amueblado y cocina equipada,Certificación energética: inmueble exento"," Planta 1ª exterior , Con ascensor , Aire acondicionado ","45 m²,1 hab.,1ª planta exterior con ascensor",,41.7011829,2.854635,550,Anuncio actualizado el 20 de febrero,616172915,"Alquiler de Piso en avenida Joan Llaverias, 49","Casc Antic, Lloret de Mar",Fianza de 2 meses,Sole,Particular
https://www.idealista.com/inmueble/84095573/?xtmc=2_1_lloret&xtcr=0," Calle Montecarlo, 44 , Urb. font de sant llorenç , Distrito Serra Brava , Lloret de Mar , La Selva, Girona ",," Casa o chalet independiente,2 plantas,140 m² construidos, 120 m² útiles,3 habitaciones,2 baños,Parcela de 900 m²,Terraza,Segunda mano/buen estado,Armarios empotrados,Trastero,Orientación sur,Amueblado y cocina equipada,Certificación energética: en trámite"," Aire acondicionado , Piscina , Jardín ","140 m²,3 hab.",,41.7125678,2.8812659,8000,Anuncio actualizado el 31 de enero,,"Alquiler de Casa o chalet independiente en calle Montecarlo, 44","Serra Brava, Lloret de Mar",,paco,Particular
https://www.idealista.com/inmueble/83290881/?xtmc=2_1_lloret&xtcr=0," Calle Costa d'en Bandina , Distrito Canyelles - Montgoda , Lloret de Mar , La Selva, Girona "," ""Preciosa casa situada a 800 m del mar. Excelente ubicación en una tranquila urbanización. A tan solo 10 min del centro del pueblo. Ideal para familias. Dispone de 6 habitaciones dobles, 2 baños, 2 cocinas, 2 terrazas (19m y 35m), terreno exterior con barbacoa, 2 chimeneas, calefacción, amueblada, gran recibidor de 20 m y garaje de 36 m para dos vehículos y trastero.,Casa al detalle,La superficie total construida de la casa es de 200m2, dividida en dos apartamentos independientes compartiendo solamente el recibidor. Cada apartamento dispone de tres habitaciones de muy buen tamaño, un baño, cocina totalmente equipada. En el exterior encontramos varias terrazas y zona de barbacoa. La casa es ideal para una gran familia. Dispone de garaje para dos coche y está situada a escasos metros de la preciosa playa Cala Canyelles.,En el corazón de Costa Brava,Lloret de Mar  es el  municipio español de la comarca de la Selva, situado  en la provincia de Gerona(Costa Brava) Está dotado de unas playas excelentes de arena granulada. Posee también unas magníficas vistas al castillo en un extremo y al otro el monumento a ""La dona Marinera"" que representa el sufrimiento de las mujeres esperando la vuelta de sus maridos pescadores.         ,En Lloret de Mar encontramos dos campos de golf y uno de los más famosos parques acuáticos de la zona Water World. El camino de ronda Tossa de Mar-Lloret de Mar - Fenals, para los amantes de trekking, constituye uno de los más bellos paseos que se pueden hacer por la Costa Brava.  ."" "," Casa o chalet,2 plantas,200 m² construidos, 182 m² útiles,6 habitaciones,3 baños,Parcela de 644 m²,Plaza de garaje incluida en el precio,Amueblado y cocina equipada,Certificación energética: en trámite"," Aire acondicionado , Jardín ","200 m²,6 hab.,Garaje incluido",,41.7092768,2.877646,1650,Anuncio actualizado el 24 de enero,931342518,Alquiler de Casa o chalet en calle Costa d'en Bandina,"Canyelles - Montgoda, Lloret de Mar",,Oi Realtor Lloret,Profesional
https://www.idealista.com/inmueble/83569197/?xtmc=2_1_lloret&xtcr=0," , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""Alquiler temporal de bonito piso en Lloret de Mar a 450m de la playa. Dispone de comedor salón, cocina independiente totalmente equipada, tres habitaciones dobles, dos baños completos y un fantástico balcón donde poder disfrutar de las vistas hacia el mar, montaña y ciudad. Cuenta con una zona comunitaria que tiene piscina y zonas ajardinadas. Tienen a su disposición una plaza de parking en el mismo edificio para su mayor tranquilidad y comodidad. Uno de sus mayores encantos es su ubicación ya que se encuentra una zona céntrica, muy cerca de todos los servicios y la playa. Consumos y comisión de la agencia no incluida. Consultar disponibilidad ya que el precio varia dependiendo de la temporada.,[IW]."" ","106 m² construidos, 90 m² útiles,3 habitaciones,2 baños,Terraza,Plaza de garaje incluida en el precio,Construido en 1975,Amueblado y cocina equipada,Certificación energética: en trámite"," Planta 4ª , Con ascensor ","106 m²,3 hab.,4ª planta con ascensor,Garaje incluido",,41.7025076,2.8556446,700,Anuncio actualizado el 30 de enero,935438356,Alquiler de Piso en Casc Antic,Lloret de Mar,,Luxury V. B&G,Profesional
https://www.idealista.com/inmueble/84233561/?xtmc=2_1_lloret&xtcr=0," Calle Joaquim Codina i Vinyes , Distrito Santa Clotilde , Lloret de Mar , La Selva, Girona "," ""GIRONA - LLORET DE MAR,JOAQUIM CODINA I VINYES,Fantástica casa adosada con piscina comunitaria cerca de la playa. Se compone de dos plantas. En la planta baja encontramos el jardín de unos 50m², entrada, salón comedor, cocina independiente, un dormitorio y un baño con plato de ducha. En la otra planta: dos dormitorios individuales, uno tipo suite con baño completo con plato de ducha, lavadero y salida al patio. Plaza de aparcamiento y trastero. Se alquila sin muebles."" "," Casa o chalet,140 m² construidos,4 habitaciones,2 baños,Plaza de garaje incluida en el precio,Segunda mano/buen estado,Trastero,Construido en 2006"," Piscina , Jardín ","140 m²,4 hab.,Garaje incluido",,41.6953695,2.8263617,1200,Anuncio actualizado el 11 de febrero,972939625,Alquiler de Casa o chalet en calle Joaquim Codina i Vinyes,"Santa Clotilde, Lloret de Mar",,Débora,Profesional
https://www.idealista.com/inmueble/84197188/?xtmc=2_1_lloret&xtcr=0," Calle del Migdia , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""Altura piso 1º, piso superficie total 39 m², superficie útil 35 m², habitaciones dobles: 1, 1 baño, estado conservación: buen estado, agrupación: 5451."" ","39 m² construidos, 35 m² útiles,1 habitación,1 baño,Segunda mano/buen estado"," Planta 1ª exterior , Sin ascensor ","39 m²,1 hab.,1ª planta exterior sin ascensor",,41.7035567,2.8490145,390,Anuncio actualizado el 25 de febrero,972935628,Alquiler de Piso en calle del Migdia,"Casc Antic, Lloret de Mar",,CAT HABITAT,Profesional
https://www.idealista.com/inmueble/84308347/?xtmc=2_1_lloret&xtcr=0," , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""Fantástico ático en alquiler en el semi-centro de Lloret de Mar. Reformado integralmente hace tan solo 2 años, con suelos de gres/parket, superficie de 70 m2 de vivienda + 90 m2 de terraza.,Salón-comedor, con cocina americana, mucha luminosidad con salida a terraza de 90 m2, trastero independiente y toldo. Dispone de 2 habitaciones dobles, 1 de ellas suitte y con vestidor con armarios empotrados. 2 Baños completos con ducha y suelos de gres. El inmueble tiene calefacción de gas natural, puertas de madera, ventanas de aluminio, puerta con cierre de seguridad, amueblado opcional.,Finca con ascensor a tan solo 400 metros de la playa y a 2 minutos del centro.,Ático muy completo.. . ¿Se lo van a perder?,Los condiciones de alquiler son 1 mes de agencia + 2 meses de fianza, y los requisitos son contrato de trabajo y 3 ultimas nominas, se aceptan animales pequeños.,¡Contacte con nosotros!"" ","160 m² construidos, 70 m² útiles,2 habitaciones,2 baños,Terraza,Segunda mano/buen estado,Armarios empotrados"," Planta 5ª , Con ascensor ","160 m²,2 hab.,5ª planta con ascensor",,41.703131,2.853711,700,Anuncio actualizado el 25 de febrero,972080573,Alquiler de Piso en Casc Antic,Lloret de Mar,,ISMAEL PÉREZ,Profesional
https://www.idealista.com/inmueble/83622962/?xtmc=2_1_lloret&xtcr=0," Rambla de Roma Barnes, 10 , Distrito Casc Antic , Lloret de Mar , La Selva, Girona "," ""ACOGEDOR APARTAMENTO/ESTUDIO SEGUNDA LÍNEA DE MAR!,Acogedor apartamento de 55 mt2 el cual consta de una habitación doble con dos camas individuales, armario, aire acondicionado, ventanas de aluminio de doble cristal, baño con plato de ducha, cocina americana totalmente independiente y equipada con horno, microondas, vitrocerámica, nevera y lavadora. Posee un salón comedor también independiente, lo que hace una cómoda estancia a pesar de ser un estudio. ,Su proximidad a la playa de Lloret de Mar Punta de Calafats y al Paseo Marítimo hace su atractivo, al igual de su cercanía a Bancos, Supermercados, restaurantes, Ayuntamiento, parada de bus, etc. ,¡No dejes escapar esta oportunidad! Contactanos para más detalles o para hacer una visita.,NO DUDES EN CONTACTARNOS!"" ","55 m² construidos,1 habitación,1 baño,Segunda mano/buen estado,Armarios empotrados,Orientación sur,Amueblado y cocina equipada"," Planta 1ª exterior , Sin ascensor , Aire acondicionado ","55 m²,1 hab.,1ª planta exterior sin ascensor",,41.6982907,2.8457309,425,Anuncio actualizado el 25 de enero,932826079,"Alquiler de Piso en rambla de Roma Barnes, 10","Casc Antic, Lloret de Mar",Fianza de 2 meses,Valeria P.,Profesional
